Timestamp,Voltage (V),Current (A),Power (W),Energy (Wh),Frequency (Hz),People Inside
06-11-2023 -> 15:00:34,228.9,0.27,32.9,1.18,50,0
06-11-2023 -> 15:10:34,229.1,0.39,49.1,1.18,50,7
06-11-2023 -> 15:20:34,229.4,0.77,105.6,1.17,49.9,20
06-11-2023 -> 15:30:34,229.7,1.16,164.4,1.17,49.9,40
06-11-2023 -> 15:40:34,229.3,1.16,164.4,1.17,49.9,40
06-11-2023 -> 15:50:34,229.3,1.91,293.9,1.17,49.9,56
06-11-2023 -> 16:00:34,229,1.91,293.9,1.17,49.9,56
06-11-2023 -> 16:10:34,228.4,2.3,344.9,1.17,49.9,70
06-11-2023 -> 16:20:34,228.1,2.3,344.9,1.17,49.9,70
06-11-2023 -> 16:30:34,227.1,2.3,344.9,1.17,49.9,70
06-11-2023 -> 16:40:34,227.7,1.94,294.7,1.17,49.9,59
06-11-2023 -> 16:50:34,228.4,0.26,31.9,1.17,49.9,0

07-11-2023 -> 08:54:10,229.3,0.26,31.7,1.17,49.9,0
07-11-2023 -> 09:04:10,228.4,1.16,164.4,1.17,49.9,40
07-11-2023 -> 09:14:10,228.4,1.16,164.4,1.17,49.9,40
07-11-2023 -> 09:24:10,228.1,1.91,293.9,1.17,49.9,58
07-11-2023 -> 09:34:10,227.1,2.19,330,1.17,49.9,62
07-11-2023 -> 09:44:10,227.7,2.19,330,1.17,49.9,62
07-11-2023 -> 09:54:10,228.4,2.19,330,1.17,49.9,62
07-11-2023 -> 10:04:10,228.6,2.3,344.9,1.17,49.9,70
07-11-2023 -> 10:14:10,228.9,2.3,344.9,1.17,49.9,70
07-11-2023 -> 10:24:10,228.9,2.3,344.9,1.17,49.9,70
07-11-2023 -> 10:34:10,229,2.3,344.9,1.17,49.9,70
07-11-2023 -> 10:44:10,228.8,0.25,31.9,1.17,49.9,0
07-11-2023 -> 15:00:34,228.9,0.27,31.7,1.17,50,0
07-11-2023 -> 15:10:34,229,1.08,161.6,1.17,49.9,34
07-11-2023 -> 15:20:34,228.8,1.66,241.5,1.17,50,43
07-11-2023 -> 15:30:34,229,1.66,241.5,1.17,50,43
07-11-2023 -> 15:40:34,228.7,1.66,241.5,1.17,50,45
07-11-2023 -> 15:50:34,228.7,1.68,242.7,1.17,50,46
07-11-2023 -> 16:00:34,228.5,1.88,274.4,1.17,50,52
07-11-2023 -> 16:10:34,228.6,1.88,274.4,1.17,50,52
07-11-2023 -> 16:20:34,228.4,2.19,330,1.18,50,63
07-11-2023 -> 16:30:34,229,2.3,344.9,1.18,50,70
07-11-2023 -> 16:40:34,228.2,0.77,101.9,1.18,50,25
07-11-2023 -> 16:50:34,228.2,0.26,31.5,1.17,50,0

08-11-2023 -> 08:54:10,228.1,0.26,31.5,1.18,50,0
08-11-2023 -> 09:04:10,228.2,1.81,276.9,1.18,50,50
08-11-2023 -> 09:14:10,228.4,2.11,318.1,1.18,50,60
08-11-2023 -> 09:24:10,228.7,2.11,318.1,1.18,50,60
08-11-2023 -> 09:34:10,229.2,2.3,334.9,1.18,50,70
08-11-2023 -> 09:44:10,229.5,2.3,334.9,1.18,50,70
08-11-2023 -> 09:54:10,229.4,2.3,334.9,1.18,50,70
08-11-2023 -> 10:04:10,229.1,1.86,275.3,1.18,50,51
08-11-2023 -> 10:14:10,228.4,1.86,275.3,1.18,50,51
08-11-2023 -> 10:24:10,227.9,1.92,293.3,1.18,50,55
08-11-2023 -> 10:34:10,227.6,0.77,101.9,1.18,50,25
08-11-2023 -> 10:44:10,227.4,0.27,32.9,1.18,50,0
08-11-2023 -> 15:00:34,228.9,0.27,32.9,1.18,50,0
08-11-2023 -> 15:10:34,229.1,0.27,32.9,1.18,50,1
08-11-2023 -> 15:20:34,229.4,0.39,49.1,1.18,50,7
08-11-2023 -> 15:30:34,229.7,0.43,55.9,1.18,50,11
08-11-2023 -> 15:40:34,229.3,0.6,74.7,1.17,49.9,19
08-11-2023 -> 15:50:34,229.3,0.77,105.6,1.17,49.9,25
08-11-2023 -> 16:00:34,229,1.16,164.4,1.17,49.9,40
08-11-2023 -> 16:10:34,228.4,1.91,293.9,1.17,49.9,52
08-11-2023 -> 16:20:34,228.1,1.91,293.9,1.17,49.9,52
08-11-2023 -> 16:30:34,227.1,2.3,344.9,1.17,49.9,70
08-11-2023 -> 16:40:34,227.7,1.94,294.7,1.17,49.9,64
08-11-2023 -> 16:50:34,228.4,0.26,31.9,1.17,49.9,0
